news_outlet;provenance;query_keywords;creation_date;last_modified;crawl_date;author_person;author_organization;news_keywords;content_title;content_description;content_body;Fake News;Extreme bias;clickbait;credible
krone;https://www.krone.at/2158746;us, sp, rna, usa, ns, ss;21.05.2020;;22.10.2024;;;;Vertragsausstieg: USA schließen „offenen Himmel“;US-Präsident Donald Trump setzt seine Kündigungstour der internationalen Rüstungskontrollverträge fort. Die Vereinigten Staaten werden sich, wie am ...;;;;;
krone;https://www.krone.at/2424727;schi, us, regierung, sp, usa, ns, ss;28.05.2021;;22.10.2024;;;;SolarWinds-Hacker haben wieder Behörden im Visier;Die Gruppe hinter dem Hackerangriff auf den US-Softwarehersteller SolarWinds hat inzwischen nach Informationen von Microsoft Regierungsbehörden, ...;;;;;
krone;https://www.krone.at/2422318;europa, us, sp, övp, usa, ns, amerika, ss, sebastian kurz;25.05.2021;;22.10.2024;;;;Gipfel von Biden und Putin findet in Genf statt;Wien ist im Rennen um einen russisch-amerikanischen Präsidentengipfel neuerlich leer ausgegangen. Wie das Weiße Haus am Mittwochvormittag Ortszeit ...;;0;0;0;1
krone;https://www.krone.at/1970832;europa, us, regierung, sp, usa, ns, ss;02.08.2019;;22.10.2024;;;;USA steigen endgültig aus Abrüstungsvertrag aus;US-Außenminister Mike Pompeo hat am Freitag den formalen Ausstieg der USA aus dem INF-Abrüstungsvertrag zu atomaren Mittelstreckenraketen verkündet. ...;;;;;
krone;https://www.krone.at/2336579;schi, us, mrna, sp, impfstoff, rna, corona, ns, afrika, ss, europäische union;06.02.2021;;22.10.2024;;;;Südafrika-Virus: Schützt AstraZeneca-Impfung?;Der von AstraZeneca entwickelte Impfstoff soll laut einem Zeitungsbericht offenbar keinen umfassenden Schutz vor der in Südafrika entdeckten Mutation ...;;;;;
krone;https://www.krone.at/2126911;christ, us, sp, ns, familie, ss;31.03.2022;;22.10.2024;;;;Ransomware: Wer Daten sichert, ist klar im Vorteil;Familienfotos, wichtige Dokumente, berufliche Unterlagen - unser ganzes Leben ist auf unseren Smartphones und Computern gespeichert. Daten, die ...;;;;;
krone;https://www.krone.at/3334374;schi, us, sp, israel, usa, ns, familie, ss;13.04.2024;;22.10.2024;;;;Fluggesellschaften meiden Luftraum über Iran;Angesichts der Drohungen des Irans gegen Israel meiden immer mehr Fluggesellschaften den iranischen Luftraum. Darüber hinaus verlassen die ...;;;;;
krone;https://www.krone.at/3537077;schi, us, regierung, hamas, sp, krieg, ns, israel, terror, ss;25.09.2024;;22.10.2024;;;;Rakete von Hisbollah-Miliz drang bis Tel Aviv vor;Am frühen Mittwochmorgen hat die Terrormiliz Hisbollah eine Rakete auf Tel Aviv abgefeuert – es ist das erste Mal seit dem Großangriff der Hamas vom ...;;;;;
krone;https://www.krone.at/3563035;us, sp, frankreich, ukraine, ns, ss;17.10.2024;;22.10.2024;;;;Frankreich liefert Ukraine neue Kamikaze-Drohnen;Frankreich liefert der Ukraine neu entwickelte Kamikaze-Drohnen. Wie der französische Verteidigungsminister Sébastien Lecornu am Donnerstag weiter ...;;;;;
krone;https://www.krone.at/3547297;us, regierung, hamas, sp, islamisch, krieg, ns, israel, familie, terror, ss;03.10.2024;;22.10.2024;;;;Regierungschef der Hamas im Gazastreifen getötet;Beinahe kein Tag vergeht, ohne dass das israelische Militär nicht die Tötung von hochrangigen Mitgliedern der Hamas oder der Hisbollah berichtet. Nun ...;;;;;
krone;https://www.krone.at/3546528;us, sp, rna, ns, israel, terror, ss;02.10.2024;;22.10.2024;;;;Außenamt zitiert Irans Vertreter zum Rapport;Wegen des iranischen Großangriffs mit Raketen auf Israel ist der Geschäftsträger der iranischen Botschaft in Wien aus Protest ins Außenministerium ...;;;;;
krone;https://www.krone.at/3563304;us, regierung, sp, rna, krieg, spo, frankreich, ukraine, ns, amerika, usa, politik, ss;17.10.2024;;22.10.2024;;;;Für Ukraine-Kredit muss EU Sanktionen ändern;Die EU-Staats- und -Regierungschefs bekräftigten bei ihrem Gipfel am Donnerstag ihre weitere finanzielle Unterstützung der kriegsgeplagten Ukraine. ...;;;;;
krone;https://www.krone.at/3548863;demo, schi, us, sp, rna, spo, ns, ss;06.10.2024;;22.10.2024;;;;Debakel für Salzburg! Sturm Graz kennt keine Gnade;Der SK Sturm Graz hat Red Bull Salzburg im vermeintlichen Spitzenspiel der Runde mit 5:0 überrollt. Die Steirer zeigten gegen schwache „Bullen“ keine ...;;;;;
krone;https://www.krone.at/3550934;christ, us, sp, ns, ss;06.10.2024;;22.10.2024;;;;Lijnders: „Es hat bei uns einen Bruch gegeben;Meister Sturm Graz hat das erste Gipfeltreffen der Saison mit Red Bull Salzburg überaus klar mit 5:0 (2:0) gewonnen und die Horror-Woche des ...;;;;;
krone;https://www.krone.at/2675209;schi, us, photovoltaik, ss;07.04.2022;;22.10.2024;;;;Land OÖ soll Ausbau von Photovoltaik vorantreiben;In Zeiten der Teuerung ist Energiesparen das Gebot der Stunde. Ob und wie das in Landesbauten gehandhabt wird, hat sich der Landesrechnungshof ...;;;;;
krone;https://www.krone.at/2955356;schi, us, sp, ns, ss;15.03.2023;;22.10.2024;;;;OpenAI stellt neues Sprachmodell GPT-4 vor;Das Start-up OpenAI hat die nächste Version der Technologie hinter seinem populären Text-Automaten ChatGPT vorgestellt. GPT-4 soll unter anderem ...;;;;;
krone;https://www.krone.at/3194054;datenschutz, us, schi, sp, ns, politik, ss;14.12.2023;;22.10.2024;;;;Worldcoin-Projekt enthüllt weitere Partnerfirmen;Der Digital-Ausweis World ID aus dem umstrittenen Worldcoin-Projekt von OpenAI-Chef Sam Altman soll künftig verschiedenen Online-Plattformen dabei ...;;;;;
krone;https://www.krone.at/3174016;us, sp, usa, ns, ss;22.11.2023;;22.10.2024;;;;OpenAI holt gefeuerten Chef Altman zurück;Nach fünf Tagen Führungschaos beim ChatGPT-Entwickler OpenAI kehrt der herausgedrängte Chef Sam Altman wieder an die Spitze zurück. Der 38-jährige ...;;;;;
krone;https://www.krone.at/3477098;us, hamas, sp, ns, israel, terror, ss;31.07.2024;;22.10.2024;;;;Damit jagt Israel Hamas und Hisbollah aus der Luft;Hamas-Chef Ismail Haniyeh ist bei einem israelischen Luftangriff in der iranischen Hauptstadt Teheran getötet worden. Kurz davor brachten in der ...;;;;;
krone;https://www.krone.at/3522002;demo, schi, us, regierung, hamas, sp, krieg, leiche, ns, israel, familie, terror, ss;11.09.2024;;22.10.2024;;;;Hamas-Chef Sinwar wird sicheres Geleit angeboten;Er gilt als Drahtzieher der Hamas-Massaker im vergangenen Oktober und steht ganz oben auf der israelischen Fahndungsliste: Hamas-Führer Yahya Sinwar. ...;;;;;
krone;https://www.krone.at/3536000;us, sp, krieg, ukraine, usa, ns, ss;24.09.2024;;22.10.2024;;;;Selenskyj optimistisch: Kriegsende 2025 möglich;Der ukrainische Präsident Wolodymyr Selenskyj geht davon aus, dass der Krieg gegen Russland 2025 beendet werden kann. „Entschlossenes Handeln jetzt ...;;;;;
krone;https://www.krone.at/3333609;us, hamas, sp, rna, ns, israel, usa, terror, ss;12.04.2024;;22.10.2024;;;;Biden warns Iran against attacking Israel;"US President Joe Biden has urgently warned Iran against an attack on Israel. His message to Iran is: ""Don't do it"", Biden told journalists in ...";;;;;
krone;https://www.krone.at/3535845;rki, schi, us, regierung, hamas, sp, krieg, ns, israel, nahost, terror, ss;23.09.2024;;22.10.2024;;;;Israel beschließt landesweiten Ausnahmezustand;Nach den tödlichsten Luftangriffen auf die schiitische Hisbollah-Miliz seit dem Libanonkrieg im Jahr 2006 mit mehr als 400 Toten hat die israelische ...;;;;;
krone;https://www.krone.at/3561248;us, sp, ukraine, ns, ss;17.10.2024;;22.10.2024;;;;Nordkorea-Truppen in der Ukraine: Tote, Deserteure;Nordkoreanische Artilleriegranaten und Raketen regnen seit Monaten auf ukrainische Städte herab, das stalinistische Kim-Regime in Pjöngjang zählt ...;;;;;
krone;https://www.krone.at/3547263;us, sp, ns, israel, ss;03.10.2024;;22.10.2024;;;;Houthi-Miliz attackiert Tel Aviv mit Drohnen;Die vom Iran unterstützte Houthi-Miliz im Jemen hat nach eigenen Angaben erneut die israelische Küstenmetropole Tel Aviv mit Drohnen angegriffen.;;;;;
krone;https://www.krone.at/3046496;schi, us, photovoltaik, sp, leiche, ns, ss;30.06.2023;;22.10.2024;;;;Photovoltaik als Gegenpol zu knappem Budget;Im Linzer Theater Phönix wird ab sofort Olivia Schütz die Finanzen regeln;;;;;
krone;https://www.krone.at/3546673;schi, us, regierung, hamas, waffenruhe, sp, islamisch, ns, israel, usa, terror, ss;02.10.2024;;22.10.2024;;;;Biden gegen Angriff auf iranische Atomanlagen;Nach dem iranischen Raketenhagel auf Israel am Dienstag stellt sich US-Präsident Joe Biden öffentlich gegen einen möglichen Vergeltungsschlag auf ...;;;;;
krone;https://www.krone.at/3561450;demo, schi, us, regierung, sp, rna, krieg, ukraine, ns, politik, ss;16.10.2024;;22.10.2024;;;;Selenskyj: Wertvolle Rohstoffe für Verbündete;Der ukrainische Präsident Wolodymyr Selenskyj hat am Mittwoch seinen bisher unveröffentlichten „Siegesplan“ im Verteidigungskrieg gegen Russland im ...;;;;;
krone;https://www.krone.at/3550814;christ, schi, us, sp, spo, usa, ns, ss;06.10.2024;;22.10.2024;;;;Kontakt zu Hoffenheim, aber noch keine Einigung;Der Abgang von Sturm-Graz-Sportchef Andreas Schicker zum deutschen Fußball-Bundesligisten Hoffenheim naht. Sturm-Präsident Christian Jauk dementierte ...;;;;;
krone;https://www.krone.at/3544630;christ, us, schi, sp, spo, ns, ss;02.10.2024;;22.10.2024;;;;Wieder nix! Sturm verliert auch gegen Club Brügge;Der SK Sturm Graz hat im ersten Champions-League-Heimspiel seit mehr als 23 Jahren den erhofften Punktgewinn verpasst! Der ersatzgeschwächte ...;;;;;
krone;https://www.krone.at/3543684;us, sp, rna, ns, linke, ss;01.10.2024;;22.10.2024;;;;Salzburg erleidet 0:4-Debakel gegen Stade Brest;Red Bull Salzburg ist in der Fußball-Champions-League am Dienstag in ein Heimdebakel gelaufen. Die Salzburger mussten sich Stade Brest mit 0:4 (0:1) ...;;;;;
krone;https://www.krone.at/3176152;sp, us, ss, ns;24.11.2023;;22.10.2024;;;;Tiroler kauften Bitcoins und erlebten Albtraum;Die Tiroler Polizei hat derzeit fast täglich mit Internet-Kriminalität im großen Stil zu tun. Die jüngsten Fälle betreffen einen Unterländer (68) und ...;;;;;
krone;https://www.krone.at/3172886;us, sp, usa, ns, ss;21.11.2023;;22.10.2024;;;;Altman-Entlassung: OpenAI-Investoren erwägen Klage;Investoren des ChatGPT-Entwicklers OpenAI erwägen wegen der Entlassung von Firmenchef Sam Altman offenbar rechtliche Schritte gegen den ...;;;;;
krone;https://www.krone.at/3476744;schi, us, regierung, sp, israel, usa, ns, ss, vereinte nationen;30.07.2024;;22.10.2024;;;;Israels Armee griff Hisbollah bei Beirut an;Die israelische Armee hat nach eigenen Angaben am Dienstag einen gezielten Schlag gegen einen Hisbollah-Anführer verübt. Dieser soll für den Beschuss ...;;;;;
krone;https://www.krone.at/3171953;us, sp, usa, ns, ss;20.11.2023;;22.10.2024;;;;Gefeuerter OpenAI-Chef wechselt zu Microsoft;Das Chef-Karussell bei der ChatGPT-Entwicklerfirma OpenAI dreht sich weiter. Der am Freitag überraschend entlassene Mitgründer und Chef Sam Altman ...;;;;;
krone;https://www.krone.at/3530800;grenzen, schi, us, sp, rna, krieg, ukraine, ns, ss;19.09.2024;;22.10.2024;;;;Selenskyj: „Unser Siegesplan ist ausgearbeitet“;Der ukrainische Präsident Wolodymyr Selenskyj hat am Mittwoch die Fertigstellung eines umfassenden „Siegesplans“ für sein Land bekannt gegeben. Der ...;;;;;
krone;https://www.krone.at/3454778;us, solarenergie, sp, ns, ss;12.07.2024;;22.10.2024;;;;Wie die Photovoltaikanlage ein Haus „lahmlegte“;Ein oberösterreichischer Energiekonzern kündigte den Einspeisungsvertrag für die Solarenergieanlage. Das hatte aber zur Folge, dass Helmut Bauer auch ...;;;;;
krone;https://www.krone.at/3171859;schi, us, sp, ns, ss;20.11.2023;;22.10.2024;;;;Chef-Karussell bei OpenAI dreht sich weiter;Bei der ChatGPT-Entwicklerfirma OpenAI kommt es offenbar doch nicht zur Rückkehr des hinausgedrängten Mitgründers und Chefs Sam Altman. Nach ...;;;;;
krone;https://www.krone.at/3531798;schi, us, regierung, sp, islamisch, krieg, ns, israel, usa, nahost, terror, ss;19.09.2024;;22.10.2024;;;;Hisbollah-Chef sieht „rote Linien“ überschritten;Nach der Explosion hunderter Kommunikationsgeräte der pro-iranischen Hisbollah im Libanon hat der Chef der schiitischen Organisation einen „schweren ...;;;;;
krone;https://www.krone.at/3533891;schi, us, hamas, sp, islamisch, rna, ns, israel, ss;21.09.2024;;22.10.2024;;;;„Umfassender Angriff“ auf den Südlibanon;Israel setzt seine massiven Luftschläge gegen die schiitische Hisbollah-Miliz im Südlibanon fort. „Dutzende“ Kampfflugzeuge seien an dem Einsatz ...;;;;;
krone;https://www.krone.at/3463496;schi, us, hamas, sp, ns, israel, usa, ss;19.07.2024;;22.10.2024;;;;Houthi sprengen Gebäude in Tel Aviv: Ein Toter;In der israelischen Küstenmetropole Tel Aviv ist es in der Nacht auf Freitag zu einer schweren Explosion nahe einer Niederlassung der US-Botschaft ...;;;;;
krone;https://www.krone.at/3535240;schi, us, regierung, sp, rna, krieg, ns, israel, ss;23.09.2024;;22.10.2024;;;;500 Tote: Israel überzieht Libanon mit Angriffen;Der Nahe Osten kommt nicht zur Ruhe. Laut Angaben aus Israel sind am Montag mehr als 300 Hisbollah-Ziele im Libanon angegriffen worden – die Angriffe ...;;;;;
krone;https://www.krone.at/3558758;us, sp, ukraine, ns, ss;13.10.2024;;22.10.2024;;;;Nordkoreaner kämpfen mit Russen in der Ukraine;Laut dem ukrainischen Präsidenten Wolodymyr Selenskyj kämpfen Nordkoreaner gemeinsam mit Russen in der Ukraine. „Wir sehen, dass die Allianz zwischen ...;;;;;
krone;https://www.krone.at/3561047;rki, us, sp, ns, ss;16.10.2024;;22.10.2024;;;;Russen rücken vor: Ukraine muss zwangsevakuieren;Wegen des russischen Vormarschs und Versorgungsproblemen im Winter haben die ukrainischen Behörden die Evakuierung der strategisch wichtigen Stadt ...;;;;;
krone;https://www.krone.at/3545125;us, sp, spo, ns, ss;01.10.2024;;22.10.2024;;;;Ex-Bulle Solet hat einen neuen Verein gefunden;Der ehemalige Innenverteidiger von Salzburg, Oumar Solet, hat einen neuen Klub gefunden. Der Franzose, mit dem die Bullen den Vertrag vor rund zwei ...;;;;;
krone;https://www.krone.at/3171352;us, sp, usa, ns, ss;19.11.2023;;22.10.2024;;;;OpenAI will Ex-Chef offenbar wieder zurückholen;Die völlig unerwartete Entlassung von OpenAI-Chef Sam Altman hat einen großen Wirbel in der KI-Branche ausgelöst. Offenbar bedauert der ...;;;;;
krone;https://www.krone.at/3473437;us, regierung, hamas, sp, islamisch, rna, krieg, syrien, ns, israel, usa, terror, ss;27.07.2024;;22.10.2024;;;;Mehrere Tote bei Raketenangriff auf Golanhöhen;Bei dem Einschlag einer Rakete auf die Golanhöhen sind mindestens elf Menschen ums Leben gekommen. 19 weitere wurden verletzt (siehe Video oben). ...;;;;;
krone;https://www.krone.at/3561151;us, sp, rna, spo, usa, ns, ss;16.10.2024;;22.10.2024;;;;Dortmund wollte Klopp zurückholen – der sagte ab;Jürgen Klopp ist zurück im Fußballgeschäft. Der 57-Jährige unterschrieb vor wenigen Wochen als Head of Global Soccer bei Red Bull. Dabei hätte der ...;;;;;
krone;https://www.krone.at/3170734;schi, us, sp, rna, ns, amerika, ss, tesla;18.11.2023;;22.10.2024;;;;ChatGPT-Gründer setzt eigenen Chef vor die Tür;Der Entwickler des populären KI-Chatbots, OpenAI, hat überraschend seinen Chef Sam Altman entlassen. Hintergrund soll die „nicht immer ehrliche“ ...;;;;;
krone;https://www.krone.at/3523608;us, sp, ukraine, ns, ss;12.09.2024;;22.10.2024;;;;Russland hat Gegenoffensive in Kursk gestartet;Russland hat nach den Worten des ukrainischen Präsidenten Wolodymyr Selenskyj eine Gegenoffensive in der russischen Grenzregion Kursk gestartet. ...;;;;;
krone;https://www.krone.at/3528963;us, sp, rna, krieg, ukraine, ns, ss;17.09.2024;;22.10.2024;;;;Russland und Ukraine verloren 1 Million Soldaten;Im russischen Angriffskrieg gegen die Ukraine sind nach Recherchen der US-Zeitung „Wall Street Journal“ auf beiden Seiten Hunderttausende Soldaten ...;;;;;
krone;https://www.krone.at/3528533;us, regierung, sp, krieg, ukraine, ns, amerika, usa, politik, ss;17.09.2024;;22.10.2024;;;;Selenskyj: Russen echtes Bild vom Krieg zeigen;Die ukrainische Staatsführung möchte der von der Propaganda geblendeten russischen Bevölkerung ein realistisches Bild vom Kriegsgeschehen verschaffen ...;;;;;
krone;https://www.krone.at/3533350;grenzen, schi, us, hamas, regierung, sp, islamisch, rna, krieg, leiche, spo, ns, israel, usa, politik, ss;21.09.2024;;22.10.2024;;;;Technologie als Waffe: Der unsichtbare Nahostkrieg;Ein kurzer Signalton, eine kleine Explosion – der Libanon wurde Zeuge eines Angriffs, der die Grenzen zwischen konventioneller und elektronischer ...;;;;;
krone;https://www.krone.at/3460684;us, regierung, hamas, sp, rna, krieg, ns, israel, usa, linke, ss;16.07.2024;;22.10.2024;;;;Blinken: Zahl der Toten bleibt „unannehmbar hoch“;Die US-Regierung hat am Dienstag ihre Bedenken gegenüber Israels Kriegsführung im Gazastreifen wiederholt. Die Zahl der toten Zivilpersonen bleibe ...;;;;;
krone;https://www.krone.at/3462680;schi, us, regierung, hamas, sp, rna, krieg, ns, israel, usa, politik, terror, ss;18.07.2024;;22.10.2024;;;;Janik: „Sicherheit von Israel war eine Illusion“;Der Völkerrechtsexperte Ralph Janik von der Sigmund Freud Privatuniversität Wien analysiert im krone.tv-Gespräch mit Jürgen Winterleitner die ...;;;;;
krone;https://www.krone.at/3555668;schi, us, regierung, waffenruhe, sp, spd, frankreich, ukraine, ns, ss, olaf scholz;10.10.2024;;22.10.2024;;;;Selenskyj bestreitet Pläne für eine Waffenruhe;Der ukrainische Präsident Wolodymyr Selenskyj hat bestritten, während seiner derzeitigen Reise durch westeuropäische Hauptstädte Pläne über eine ...;;;;;
krone;https://www.krone.at/3556592;demo, europa, us, sp, krieg, spd, frankreich, ukraine, ns, politik, ss, olaf scholz;11.10.2024;;22.10.2024;;;;Milliarden für Ukraine, aber wichtige Waffe fehlt;Der deutsche Bundeskanzler Olaf Scholz hat der Ukraine umfangreiche weitere Militärhilfe der westlichen Partner im Wert von 1,4 Milliarden Euro ...;;;;;
krone;https://www.krone.at/3549883;us, sp, krieg, ns, ss;05.10.2024;;22.10.2024;;;;Russische Truppen melden regelmäßig neue Einnahmen;Die russische Armee meldet derzeit regelmäßig die Einnahme von Ortschaften – zuletzt von einem weiteren Dorf in der Nähe der strategisch wichtigen ...;;;;;
krone;https://www.krone.at/3547777;us, waffenruhe, sp, rna, frankreich, ns, israel, usa, terror, ss;03.10.2024;;22.10.2024;;;;Bodenoffensive: Libanons Armee erwidert das Feuer;Der von Israel als „begrenzte Operation“ bezeichneten Bodenoffensive sind offenbar nicht nur mehrere israelische, sondern mittlerweile auch ...;;;;;
krone;https://www.krone.at/90013545452;us, sp, usa, ns, ss;07.10.2024;;22.10.2024;;;;„Die Gründe werde ich jetzt nicht sagen, aber …“;Red Bull Salzburg hat auch das zweite Champions-League-Spiel verloren. Hier die Stimmen zum 0:4-Debakel gegen Stade Brest.;;;;;
krone;https://www.krone.at/3520551;christ, us, schi, sp, ns, ss;09.09.2024;;22.10.2024;;;;Verteidiger Solet bei Salzburg wieder mittendrin;Lange sah es danach aus, als würde es zwischen dem FC Red Bull Salzburg und Oumar Solet auf eine Trennung im Sommer hinauslaufen. Seit Montag ist ...;;;;;
krone;https://www.krone.at/3525525;sp, us, ss, ns;14.09.2024;;22.10.2024;;;;Nach Wechsel-Chaos: Solet-Vertrag aufgelöst;Fußball-Vizemeister Red Bull Salzburg hat den Vertrag mit Innenverteidiger Oumar Solet ein Jahr vor Ablauf „in beiderseitigem Einvernehmen“ ...;;;;;
krone;https://www.krone.at/3435363;schi, us, regierung, hamas, sp, krieg, leiche, syrien, ns, israel, usa, nahost, terror, ss;27.06.2024;;22.10.2024;;;;Israel zu Hisbollah: Bomben Libanon „in Steinzeit“;Der Konflikt zwischen Israel und der militanten Hisbollah hat sich zuletzt weiter verschärft. Es droht ein offener Krieg, der die Situation im Nahen ...;;;;;
krone;https://www.krone.at/3159727;sp, us, ss, ns;07.11.2023;;22.10.2024;;;;OpenAI erweitert Wissenszeitraum von ChatGPT;ChatGPT wird künftig über Ereignisse bis April dieses Jahres informiert sein. Bisher endete das Wissen des populären KI-Chatbots über die Welt im ...;;;;;
krone;https://www.krone.at/3499123;us, sp, krieg, ukraine, ns, ss;20.08.2024;;22.10.2024;;;;Bürger der Region Kursk sollen Dating-Apps löschen;Das russische Innenministerium hat die Menschen in drei Regionen an der Grenze zur Ukraine aufgefordert, Datings-Apps auf ihren Smartphones und ...;;;;;
krone;https://www.krone.at/3524001;rki, us, sp, krieg, ukraine, ns, usa, linke, ss;12.09.2024;;22.10.2024;;;;Putin droht: Dann ist NATO „im Krieg mit Russland“;Wladimir Putin hat erneut seine berühmten „Roten Linien“ skizziert und wurde dabei deutlich: Eine Zustimmung des Westens zum Einsatz weitreichender ...;;;;;
krone;https://www.krone.at/2540884;us, sp, ns, israel, ss, globale erwärmung;26.10.2021;;22.10.2024;;;;„Softwaredefekt“ legt Tankstellen im Iran lahm;Das iranische Staatsfernsehen hat am Dienstag erklärt, dass ein Cyberangriff auf Tankstellen im gesamten Land verübt worden sei. Zuvor hatten sich ...;;;;;
krone;https://www.krone.at/3460660;schi, us, hamas, sp, islamisch, spo, krieg, ns, israel, terror, ss;16.07.2024;;22.10.2024;;;;Israels Armee: Terroristen in Schule getroffen;Am Dienstag sind bei israelischen Angriffen im Gazastreifen erneut viele Menschen ums Leben gekommen. In der Stadt Khan Younis im Süden wurden Zelte ...;;;;;
krone;https://www.krone.at/3455313;us, hamas, sp, krieg, ns, israel, terror, ss;12.07.2024;;22.10.2024;;;;Oktober-Massaker: Israels Armee räumt Versagen ein;Eine interne Untersuchung der israelischen Armee hat ein kolossales Scheitern im Vorfeld des Oktober-Massakers festgestellt. Am Beispiel des Kibbuz ...;;;;;
krone;https://www.krone.at/3555044;sp, us, ss, ns;10.10.2024;;22.10.2024;;;;„Philipp bewegt“: Auch der Sesseltag ist intensiv;Der Sesseltag: das klingt so gemütlich und wird daher auch oft unterschätzt. Auch am Donnerstag kann trotz der Übungen im Sitzen die Einheit ganz ...;;;;;
